key_code,room_name,remarks
2A170,BILIK CETAK(SK),S.Key
2A171,BILIK SSB(SK),S.Key
2A172,BILIK UTILITI(SK),S.Key
2B173,RUANG MENUNGGU(SK),S.Key
2BD174,ADMIN(SK),S.Key
2C175,TIM. PEG. 2(SK),S.Key
2C176,TIM. PEG. 1(SK),S.Key
2D177,BILIK FAIL(SK),S.Key
2D178,PINTU LALUAN ADMIN(SK),S.Key
2D179/80,BILIK MESYUARAT(SK),S.Key
2D181,BILIK UTILITI 1(SK),S.Key
2D182,BILIK UTILITI 2(SK),S.Key
2D183,BILIK TCR(SK),S.Key
2FG184,DEWAN KULIAH(SK),S.Key
2FG185,B. PERSEDIAAN 2 (STOR)(SK),S.Key
2H186,SURAU(SK),S.Key
2H187,PINTU LALUAN HEP(SK),S.Key
2I188,BILIK FAIL EXAM(SK),S.Key
2I189,BILIK PEG. EXAM(SK),S.Key
2I190,BILIK PEG. PENGAMBILAN(SK),S.Key
2I191,BILIK PEG. LI(SK),S.Key
2J192,RUANG HEP(SK),S.Key
2J193,BILIK FAIL HEP(SK),S.Key
2J194,BILIK PEG. PP(SK),S.Key
3AB195,BILIK PENSYARAH(SK),S.Key
3A196,BILIK DB(SK),S.Key
3A197,BILIK UTILITI(SK),S.Key
3B198,P.LALUAN PENSYARAH(SK),S.Key
3C199,MAKMAL MULTIMEDIA(SK),S.Key
3C200,P.LALUAN M.MMEDIA(SK),S.Key
3D201,BILIK ICT(SK),S.Key
3D202,BILIK MAIN TCR(SK),S.Key
3D203,BILIK TCR(SK),S.Key
3E204,M.PENGATUCARAAN 1(SK),S.Key
3E205,B.PERSEDIAAN 4 (PSH)(SK),S.Key
3G206,M.K.LOGISTIK 2(SK),S.Key
3H207,M.PENGATUCARAAN 2(SK),S.Key
3H208,P.LALUAN M.P2(SK),S.Key
3I209,MAKMAL BAHASA(SK),S.Key
3J210,LIBRARY(SK),S.Key
4A211,MAK.PENDAWAIAN RANGKAIAN(SK),S.Key
4A212,BILIK DB(SK),S.Key
4A213,BILIK UTILITI(SK),S.Key
4B214,MAK. RANGKAIAN KOMPUTER(SK),S.Key
4B215,P.LALUAN MRK(SK),S.Key
4C216,MAKMAL BAIK PULIH KOMPUTER(SK),S.Key
4C217,P.LALUAN MBPK(SK),S.Key
4D218,TEC1(SK),S.Key
4D219,BILIK TCR(SK),S.Key
4E220,MAKMAL IOT(SK),S.Key
4E221,B. PERSEDIAAN 5(SK),S.Key
4FG222,TECC2(SK),S.Key
4FG223,B.PERSEDIAAN 6(SK),S.Key
4H224,MAKMAL AI(SK),S.Key
4H225,P.LALUAN M.AI(SK),S.Key
4I226,TEC 2(SK),S.Key
4I227,P.LALUAN TEC2(SK),S.Key
4J228,TECC 1(SK),S.Key
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
